video_id,style_raw,style_no,category_id,category_name,brand_code,brand_name,oss_url,posted_date,impressions,views,clicks,orders,revenue
7622057127841926413,SNRS24007W-L,SNRS24007W-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7622057127841926413/2026/07/08/7622057127841926413_5b7f61d888a7494480fe7e54b347e1e9.mp4,2026-03-27,175078,162548,17508,106,5991.070000
7622679998737976607,SNRS24007W-L,SNRS24007W-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7622679998737976607/2026/07/07/7622679998737976607_65614b4ff206460aadeeaeeadc3c424e.mp4,2026-03-29,345027,320733,9760,117,6781.070000
7623141958889803022,DWUMFF2503,DWUMFF2503,67,夹趾拖,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623141958889803022/2026/07/08/7623141958889803022_ea0a34ba268f41dc9b2f2c473081670e.mp4,2026-03-30,178645,164186,1825,67,2268.390000
7623242662648270094,SDHS25006W,SDHS25006W,63,高跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623242662648270094/2026/08/16/7623242662648270094_8ee6dcc6850a4479ae3f8c269748509f.mp4,2026-03-30,126005,117554,2311,87,2952.600000
7623488454684445983,AMUMRS2513,AMUMRS2513,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623488454684445983/2026/09/07/7623488454684445983_dd662d757cc54251a6aacf2aa01df624.mp4,2026-03-31,106297,101197,3820,95,4615.360000
7623546422427798798,SNRS24009M-W,SNRS24009M-W,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623546422427798798/2026/07/07/7623546422427798798_dd879adf22ae4cc0bf887731f49efccf.mp4,2026-03-31,684181,618634,23473,354,16846.060000
7623572757812497677,AWUMRS2506,AWUMRS2506,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623572757812497677/2026/07/07/7623572757812497677_d652598cf8ae413cbb2b1c771667de75.mp4,2026-04-02,1129905,1033385,27171,274,14964.780000
7623675447137602830,SBLS26003M-1,SBLS26003M-1,54,乐福鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623675447137602830/2026/08/06/7623675447137602830_1311f838eefa4280b4d80eb8be5401b9.mp4,2026-03-31,283663,264236,4995,93,5623.270000
7623800302780665102,SDHS2472W,DWUMHS2425,63,高跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623800302780665102/2026/07/08/7623800302780665102_c81666d4e4324f08883c58398d23e3a3.mp4,2026-04-01,86513,76276,3150,12,395.880000
7623828436989087007,AWUMRS2506,AWUMRS2506,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623828436989087007/2026/07/07/7623828436989087007_d3ee68aa183f46df9e92b03072f997a0.mp4,2026-04-01,483135,430067,8706,155,8904.770000
7623841922347568398,AWUMRS2514,AWUMRS2514,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623841922347568398/2026/07/08/7623841922347568398_8ed792d207cc4638828c246a8e310de1.mp4,2026-04-01,127053,112781,9048,94,4424.820000
7623994130472897805,AWUMRS2506,AWUMRS2506,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7623994130472897805/2026/07/07/7623994130472897805_ec378cf9c42544d0b200964ae3037119.mp4,2026-04-01,978812,887806,30689,358,19210.180000
7624167278073924877,SNRS24007W-L,SNRS24007W-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624167278073924877/2026/07/07/7624167278073924877_a0559326ff81414587e3c21b69ae5710.mp4,2026-04-02,787610,736022,23626,201,11211.360000
7624184194922564877,SARS26004W,SARS26004W,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624184194922564877/2026/07/08/7624184194922564877_017d80ad698d40cc90a004af01fc9e28.mp4,2026-04-02,211275,187698,6961,113,5960.980000
7624246611413044511,SNRS24009M-W,SNRS24009M-W,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624246611413044511/2026/08/25/7624246611413044511_c2d258c0c3fb4ab18bf1bea68ec285c1.mp4,2026-04-02,113219,108942,3588,65,3253.480000
7624298511789608222,AWUMRS2506,AWUMRS2506,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624298511789608222/2026/08/08/7624298511789608222_2cfea2edc1224a3399e217fa34b44979.mp4,2026-04-02,144605,126181,2778,40,2204.560000
7624346051092303118,SNRS24007W-L,SNRS24007W-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624346051092303118/2026/08/28/7624346051092303118_d7dc56a1e1e248d38e12d05ba6c1fae6.mp4,2026-04-02,718305,670035,10120,141,7886.030000
7624585482613132574,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624585482613132574/2026/07/06/7624585482613132574_9b9901b8f20e4861be666040e3b89853.mp4,2026-04-03,1514878,1349188,23220,431,23494.570000
7624658743623453965,SDPU2346W-NEW,DWUMPU2306,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624658743623453965/2026/08/16/7624658743623453965_c6f1a976319c4219bcea9ab342ccbeca.mp4,2026-04-03,189756,170626,7463,179,6023.360000
7624688255732157727,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624688255732157727/2026/07/06/7624688255732157727_dbbd766fe222435e9e2b51d634ffafe3.mp4,2026-04-03,1789023,1688991,21590,419,22999.760000
7624937194586721550,AWUMRS2514,AWUMRS2514,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624937194586721550/2026/07/07/7624937194586721550_a581914be38f4148a2f1c722c42d5035.mp4,2026-04-04,314452,262534,18789,173,7977.060000
7624987943635094815,SNHI26014W,SNHI26014W,81,徒步鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7624987943635094815/2026/07/08/7624987943635094815_75da28e0baf04546b34a3d4da62c1847.mp4,2026-04-04,171360,153833,5093,55,2927.030000
7625319533804293390,GEORGIA,DWUMKB1935,61,及膝靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7625319533804293390/2026/08/27/7625319533804293390_181139584acd4a1c967920bbc6aedf69.mp4,2026-04-05,1431715,1125225,46602,191,11256.160000
7625643263231380749,BMUMOX2507,BMUMOX2507,55,牛津鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7625643263231380749/2026/07/09/7625643263231380749_32003f445ea34a8da1e39262546dd557.mp4,2026-04-08,19107,16835,1020,0,0.000000
